image,n_span,n_nonspan,mean_iou_span,mean_iou_nonspan,gap
PMC3044294_table_1,6,30,0.9055936435858408,0.0642500356460611,-0.8413436079397797
PMC3050775_table_1,3,64,0.9174837867418925,0.0658494324889034,-0.8516343542529891
PMC3062595_table_4,5,142,0.8026105642318726,0.01954661233311283,-0.7830639518987598
PMC3117774_table_0,7,61,0.9191808530262539,0.12784692599270187,-0.791333927033552
PMC3123623_table_2,5,46,0.8785802721977234,0.051175767434356007,-0.8274045047633674
PMC3130712_table_0,6,141,0.761553963025411,0.07609250440321291,-0.6854614586221981
PMC3189140_table_2,1,26,0.9385547637939453,0.12448991670344885,-0.8140648470904964
PMC3208639_table_0,6,159,0.8760432203610738,0.03963265007123997,-0.8364105702898339
PMC3209419_table_2,5,160,0.7498119950294495,0.0167773876368301,-0.7330346073926194
PMC3213080_table_0,5,104,0.885259485244751,0.06428693528234292,-0.8209725499624081
PMC3214126_table_4,3,78,0.9163366754849752,0.16170146916798936,-0.7546352063169859
PMC3215718_table_1,3,26,0.981954018274943,0.10123752874250595,-0.8807164895324371
PMC3236184_table_0,2,34,0.9689514338970184,0.1551538729605347,-0.8137975609364837
PMC3248559_table_0,2,44,0.9272002875804901,0.05485016539354216,-0.872350122186948
PMC3262863_table_4,7,141,0.844608587878091,0.05710384379374689,-0.7875047440843441
PMC3281830_table_2,1,262,0.33558389544487,0.022966866829354345,-0.31261702861551566
PMC3292942_table_0,4,105,0.6532655172049999,0.074813644413925,-0.5784518727910749
PMC3307764_table_2,2,39,0.9419925212860107,0.12137039903646861,-0.8206221222495421
PMC3308190_table_6,2,47,0.881502777338028,0.050286289225233365,-0.8312164881127946
PMC3313939_table_4,5,28,0.9388712406158447,0.14352785543139493,-0.7953433851844498
PMC3314639_table_0,2,29,0.9592222571372986,0.08354044962545921,-0.8756818075118393
PMC3338812_table_2,4,70,0.8645683377981186,0.035793346033564634,-0.8287749917645539
PMC3349596_table_1,2,36,0.8360766768455505,0.06803866682781114,-0.7680380100177394
PMC3352301_table_0,4,142,0.9189188778400421,0.07594724880977416,-0.842971629030268
PMC3365066_table_1,7,30,0.9119094610214233,0.13093829893817505,-0.7809711620832482
PMC3415056_table_1,22,69,0.5057561289180409,0.11971681544800168,-0.3860393134700392
